POS,NEU,NEG,prediccion
0.014442727901041508,0.11414550244808197,0.8714118003845215,False
0.9547919034957886,0.04022416099905968,0.004983967635780573,True
0.962949812412262,0.034691955894231796,0.002358310390263796,True
0.003835800802335143,0.09142610430717468,0.9047381281852722,False
0.9037182331085205,0.08597161620855331,0.010310155339539051,True
0.921833872795105,0.0676836222410202,0.010482478886842728,True
0.867596447467804,0.11609888076782227,0.016304630786180496,True
0.002934269607067108,0.018409501761198044,0.9786562919616699,False
0.003138832049444318,0.015218621119856834,0.9816426038742065,False
0.8617821335792542,0.13167715072631836,0.006540720351040363,True
0.23777496814727783,0.6308470964431763,0.1313779056072235,True
0.004484980832785368,0.051186367869377136,0.9443286061286926,False
0.5925542712211609,0.3813989460468292,0.026046790182590485,True
0.055050455033779144,0.6833484172821045,0.26160115003585815,False
0.9643276333808899,0.032045524567365646,0.0036268315743654966,True
0.19584035873413086,0.44276973605155945,0.3613899350166321,False
0.38500383496284485,0.5300428867340088,0.08495321124792099,True
0.0031521643977612257,0.029089132323861122,0.9677587151527405,False
0.36495012044906616,0.6008680462837219,0.03418191149830818,True
0.00337925530038774,0.018159471452236176,0.9784613251686096,False
0.008889000862836838,0.14711196720600128,0.8439989686012268,False
0.002653212985023856,0.011638482101261616,0.9857083559036255,False
0.9798832535743713,0.01706623286008835,0.003050578059628606,True
0.8210607171058655,0.1719672977924347,0.006972023751586676,True
0.00994900893419981,0.055885229259729385,0.9341657757759094,False
0.05572298914194107,0.5352292656898499,0.40904778242111206,False
0.8417744040489197,0.13370411098003387,0.02452143281698227,True
0.021423524245619774,0.23246853053569794,0.7461079359054565,False
0.002997296629473567,0.03129151463508606,0.965711236000061,False
0.03814281150698662,0.34500956535339355,0.616847574710846,False
0.0426708348095417,0.779049813747406,0.1782793551683426,False
0.9376401305198669,0.05272269621491432,0.009637141600251198,True
0.06367199122905731,0.21511945128440857,0.7212085723876953,False
0.0812591090798378,0.6821361780166626,0.23660467565059662,False
0.7088094353675842,0.26136529445648193,0.029825303703546524,True
0.25523000955581665,0.6947269439697266,0.050043124705553055,True
0.0027252729050815105,0.022467557340860367,0.9748072028160095,False
0.03350450471043587,0.4972706735134125,0.46922484040260315,False
0.7917340993881226,0.18665863573551178,0.02160729467868805,True
0.00359517359174788,0.049378834664821625,0.9470260143280029,False
0.00819371547549963,0.08978500962257385,0.9020212292671204,False
0.8657327890396118,0.11876615136861801,0.015501023270189762,True
0.0035541036631911993,0.023050455376505852,0.9733954668045044,False
0.49932771921157837,0.4670167863368988,0.03365546837449074,True
0.44943416118621826,0.5013328194618225,0.04923298582434654,True
0.6207960844039917,0.3563397228717804,0.022864097729325294,True
0.07947486639022827,0.26256969571113586,0.6579554080963135,False
0.03751891478896141,0.7193437218666077,0.24313734471797943,False
0.16441160440444946,0.7213101983070374,0.11427822709083557,True
0.11366364359855652,0.7777808308601379,0.10855550318956375,True
0.8010954856872559,0.18580928444862366,0.013095270842313766,True
0.012642367742955685,0.23220103979110718,0.7551565766334534,False
0.08370475471019745,0.5077589750289917,0.4085363447666168,False
0.9297313690185547,0.06553951650857925,0.004729093052446842,True
